,Time (ms),Voltage (mV),Voltage (mA),Force (Grams)
614,118284,0,1,-1
615,118667,0,1,-1
616,118855,0,1,-1
617,119044,0,1,-1
618,119229,0,1,-1
619,119414,0,1,-1
620,119596,0,1,-1
621,119784,0,1,-1
622,119978,0,1,-1
623,120163,0,1,-1
624,120343,0,1,-1
625,120535,0,1,-1
626,120721,0,1,-1
627,120909,0,1,-1
628,121104,0,1,-1
629,121283,0,1,-1
630,121469,0,1,-1
631,121655,0,1,-2
632,121842,0,1,-3
633,122030,0,1,-3
634,122230,0,1,-4
635,122473,0,1,-7
636,122662,0,1,-8
637,122882,0,1,-8
638,123082,0,1,-8
639,123278,0,1,-8
640,123467,0,1,-9
641,123653,0,1,-9
642,123877,0,1,-9
643,124065,0,1,-9
644,124252,0,1,-9
645,124439,0,1,-9
646,124626,0,1,-9
647,124819,0,1,-9
648,125039,0,1,-9
649,125249,0,1,-9
650,125440,0,1,-9
651,125625,0,1,-9
652,125813,0,1,-9
653,125994,0,1,-9
654,126183,0,1,-9
655,126366,0,1,-9
656,126549,0,1,-9
657,126733,0,1,-9
658,126953,0,1,-9
659,127140,0,1,-9
660,127341,0,1,-9
661,127529,0,1,-8
662,127715,0,1,-7
663,127906,0,1,-7
664,128094,0,1,-7
665,128279,0,1,-7
666,128470,0,1,-7
667,128657,0,1,-7
668,128841,0,1,-7
669,129024,0,1,-6
670,129213,0,1,-6
671,129416,0,1,-6
672,129601,0,1,-6
673,129793,0,1,-6
674,129982,0,1,-6
675,130168,0,1,-6
676,130350,0,1,-6
677,130539,0,1,-6
678,130721,0,1,-6
679,130910,0,1,-6
680,131129,0,1,-6
681,131312,0,1,-6
682,131516,0,1,-6
683,131703,0,1,-6
684,131886,0,1,-6
685,132077,0,1,-6
686,132260,0,1,-6
687,132443,0,1,-6
688,132630,0,1,-6
689,132824,0,1,-6
690,133010,0,1,-6
691,133193,0,1,-6
692,133381,0,1,-6
693,133580,0,1,-6
694,133771,0,1,-6
695,133965,0,1,-6
696,134152,0,1,-6
697,134340,0,1,-6
698,134532,0,1,-6
699,134734,0,1,-6
700,134926,0,1,-6
701,135118,0,1,-6
702,135312,0,1,-6
703,135533,0,1,-6
704,135740,0,1,-6
705,135932,0,1,-6
706,136123,0,1,-6
707,136315,0,1,-6
708,136505,0,1,-6
709,136701,0,1,-6
710,136892,0,1,-6
711,137083,0,1,-6
712,137267,0,1,-6
713,137453,0,1,-6
714,137643,0,1,-6
715,137842,0,1,-6
716,138036,0,1,-6
717,138222,0,1,-6
718,138411,0,1,-6
719,138601,0,1,-6
720,138787,45,1,-6
721,138978,57,1,-6
722,139169,57,1,-6
723,139367,56,1,-6
724,139627,57,1,-6
725,139863,57,1,-6
726,140273,57,1,-6
727,140475,56,1,-6
728,140664,56,1,-6
729,140879,57,1,-6
730,141070,56,1,-6
731,141261,57,1,-6
732,141453,57,1,-6
733,141646,56,1,-6
734,141835,57,1,-6
735,142038,57,1,-6
736,142223,57,1,-6
737,142410,57,1,-6
738,142601,57,1,-6
739,142789,56,1,-6
740,142985,57,1,-6
741,143177,56,1,-6
742,143368,56,1,-6
743,143560,57,1,-6
744,143747,57,1,-6
745,143943,57,1,-7
746,144141,56,1,-7
747,144331,57,1,-7
748,144520,56,1,-7
749,144711,57,1,-7
750,144937,57,1,-7
751,145125,57,1,-7
752,145317,56,1,-7
753,145505,57,1,-7
754,145694,57,1,-7
755,145889,56,1,-7
756,146079,57,1,-7
757,146274,57,1,-7
758,146464,57,1,-7
759,146659,57,1,-7
760,146858,57,1,-7
761,147056,56,1,-7
762,147245,57,1,-7
763,147430,57,1,-7
764,147622,57,1,-7
765,147812,56,1,-7
766,147996,85,1,-7
767,148172,121,1,-7
768,148355,121,1,-7
769,148564,122,1,-7
770,148746,121,1,-7
771,148932,121,1,-7
772,149149,121,1,-7
773,149333,121,1,-7
774,149521,121,1,-7
775,149705,121,1,-7
776,149908,121,1,-7
777,150112,121,1,-7
778,150312,121,1,-7
779,150504,121,1,-7
780,150684,121,1,-7
781,150871,121,1,-7
782,151055,121,1,-7
783,151238,121,1,-7
784,151420,121,1,-7
785,151605,121,1,-7
786,151790,121,1,-7
787,151975,121,1,-7
788,152159,121,1,-7
789,152344,136,1,-7
790,152536,170,1,-7
791,152730,190,1,-7
792,152940,190,1,-7
793,153138,190,1,-7
794,153334,190,1,-7
795,153559,190,1,-7
796,153755,190,1,-7
797,153957,190,1,-7
798,154150,190,1,-7
799,154345,190,1,-7
800,154561,190,1,-7
801,154754,190,1,-7
802,154959,190,1,-7
803,155173,190,1,-7
804,155367,190,1,-7
805,155565,190,1,-7
806,155759,190,1,-7
807,155965,190,1,-7
808,156161,190,1,-7
809,156361,195,1,-7
810,156549,202,1,-7
811,156728,217,1,-7
812,156926,243,1,-7
813,157105,255,1,-7
814,157287,257,1,-7
815,157469,257,1,-7
816,157647,257,1,-7
817,157830,263,1,-7
818,158044,275,1,-7
819,158227,287,1,-7
820,158415,296,1,-7
821,158602,314,1,-7
822,158794,324,1,-7
